time,ансамбль 60/120/250,один N=60,один N=120,один N=250,всегда лонг (вол-норм.),B&H равные доли
2025-07-11,1.5181676002958193,2.0613214598542293,1.9345810840708173,1.0157913761826751,1.2541992848824477,1.0878544093323887
2025-07-14,1.5127498137371151,2.0556211126779242,1.9308208384602537,1.0094666895371411,1.2609728671223208,1.1000390754927243
2025-07-15,1.5142466627753666,2.0564989635502364,1.936872345505061,1.0088495805474391,1.2607126047022617,1.101213879280678
2025-07-16,1.5158163004861442,2.058796455044373,1.940498874453318,1.008970834738981,1.2625708976234573,1.1042810772721117
2025-07-17,1.5167679164071541,2.0629325956691322,1.9423195889550993,1.0078773844626638,1.262344306295088,1.1044888017875556
2025-07-18,1.5113670135202772,2.0601808056179496,1.9408201150550823,0.998225158618475,1.2756671609515515,1.1238530637752808
2025-07-21,1.5165286580253836,2.0626340710703097,1.9496355419485778,1.0000618837452757,1.2766288821777845,1.1277998729487893
2025-07-22,1.5126495659314394,2.0569536403268316,1.944676605783232,0.9977107750428216,1.28126459546247,1.1316525135573716
2025-07-23,1.5119615454105468,2.056784954035977,1.9452355591205173,0.99678575932388,1.2818299712624346,1.1335986399382814
2025-07-24,1.505223409872425,2.0469776047981445,1.933148045426833,0.9919350981248681,1.2822669853427113,1.130119387776973
2025-07-25,1.5061680227023246,2.045845830304192,1.9334169681073627,0.9942289194642543,1.275932279972459,1.1208994541567452
2025-07-28,1.4937625683087992,2.026262457464266,1.9125782782370853,0.9899328430888921,1.2805147905616294,1.1181133384092852
2025-07-29,1.4892549700164925,2.0232077943892204,1.9069589342862336,0.9853582269554371,1.2869050345850694,1.12625180738813
2025-07-30,1.5003842310907771,2.0406607998540522,1.9186755581439727,0.9911363977377702,1.2751071896309631,1.1162023854166607
2025-07-31,1.5070362260120607,2.049989212331639,1.928112473812438,0.994545513459845,1.2711889350768109,1.1142753196655029
2025-08-01,1.5087122814639595,2.0476399361377786,1.931687638000276,0.9971674365517963,1.2718553661800742,1.114535068441187
2025-08-04,1.5075217181031353,2.0453638546394117,1.934045718487917,0.9946690914813098,1.277278013484005,1.123713305108291
2025-08-05,1.507779118657217,2.044348545158735,1.9360248110707303,0.9958241438960261,1.2773039446352255,1.122862357517804
2025-08-06,1.5061082221588176,2.040241648418196,1.9314905510753317,0.9951445835059395,1.2760009081899994,1.1195358013175734
2025-08-07,1.5019851897956962,2.0297897803774916,1.9291813881423614,0.9939981863655585,1.2856565137510019,1.1374629328791794
2025-08-08,1.4967250087525432,2.0254400314333925,1.9219605012866514,0.991708287277529,1.2935427954138978,1.1489069156088387
2025-08-11,1.4960769907803533,2.027034494762036,1.9205291489566818,0.9909654475240912,1.2929660456477512,1.151159360200353
2025-08-12,1.4961676290678,2.0291632190418563,1.9222321101285547,0.9918410274616738,1.2941958642330698,1.1537220668346475
2025-08-13,1.4944518782506235,2.023921470169512,1.9203770636365542,0.9908838531386979,1.2945231146763265,1.15165946143676
2025-08-14,1.494485270114445,2.026625831898259,1.9191326288462973,0.9902417446885924,1.29367032211659,1.1519090360901574
2025-08-15,1.489747066861494,2.0225920778262956,1.9129292864550347,0.9870409192218723,1.2995407782621355,1.1597549816837136
2025-08-18,1.4856540381511887,2.0052842406506994,1.9099182839234192,0.9854872900691227,1.2943596225890321,1.1479203030824168
2025-08-19,1.4889172471540828,2.0117602745601415,1.9137627184467092,0.9874709568008859,1.2924734402690556,1.147278190327701
2025-08-20,1.490688669734277,2.008399180844587,1.9162746492065592,0.9887670729008275,1.2892758270175044,1.14261585731345
2025-08-21,1.4870565327498528,1.997313065934198,1.914540397290405,0.987882461886772,1.2853007671665864,1.1340659888962492
2025-08-22,1.485363742948311,1.9956272861713233,1.9117301048575435,0.9861851885688223,1.290109807804432,1.1391924045237336
2025-08-25,1.4917731870987707,2.0001054142340515,1.9237004376175673,0.9904725898054412,1.286783545627434,1.1383302314144441
2025-08-26,1.487439093169328,1.9917118380572214,1.9168806973764987,0.988564836124475,1.2878858325418332,1.1372527964447037
2025-08-27,1.4884117512598283,1.994161485995074,1.9148398962348008,0.9883415256115331,1.2911530916306786,1.1428875258901527
2025-08-28,1.4914157030202342,1.9980843946219216,1.9190997698070953,0.9903548460432534,1.2916969597536245,1.1433642090438982
2025-08-29,1.4906076434249074,1.9955828068162804,1.9227236981676004,0.9891305764524086,1.2927060149828715,1.1436104893357022
2025-09-01,1.4946445500947019,2.0021792673960266,1.9315542719720273,0.9923180064025698,1.2901847290328763,1.140829830786789
2025-09-02,1.4961223834201844,1.9953211956240777,1.9366961993801741,0.9928496577443838,1.2889899050307976,1.135550165203081
2025-09-03,1.4966332904242678,1.9967768857383763,1.9326485267268059,0.9944417140413326,1.2929942406069441,1.1386492276758073
2025-09-04,1.492681081186855,1.9936970464362445,1.9284163006270048,0.9910534917625584,1.2928985908848907,1.1372750175367463
2025-09-05,1.4897320562657583,1.992683789676864,1.918867202506,0.9914882644800539,1.2989740090339532,1.1421275096198056
2025-09-08,1.483734965867653,2.0005078249569346,1.9076224346081163,0.9856895202915726,1.3104423476111275,1.1519072184836885
2025-09-09,1.4812059868314842,2.0125381415318224,1.9037648343859064,0.9779512649689973,1.3198536199116966,1.1586412777255815
2025-09-10,1.479615227714779,2.0135024934099226,1.9094261592381137,0.9725995492957537,1.3220920221787176,1.1567848388008088
